eval,tag,score,snr_gain_vs_edge_min,snr_gain_vs_edge_mean,snr_ratio_vs_direct_min,snr_ratio_vs_direct_mean,snr_ratio_vs_direct_median,snr_ratio_vs_direct_max,rms_log_ratio_vs_direct,gamma_vector
56,coord_w0.08_i9,-0.001981743080728026,1.0027117563001209,1.1606158240458173,0.9160992885841678,1.0017745405484437,1.0076889141980292,1.0768808168140598,0.038534964191310576,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.15,0.23,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
57,coord_w0.08_i10,-0.001972865068872538,1.002711756300122,1.1576313630593145,0.916099288584167,0.9993199612541066,1.0053732293345163,1.0768808168140607,0.03847884826254684,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.15,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
58,coord_w0.08_i10,-0.0019812301972360036,1.0027117563001224,1.1590778253889553,0.9160992885841669,1.000595896270935,1.0072155266642577,1.0768808168140604,0.03854165868084654,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.31,0.15,0.23,0.07,0.23,0.15,0.15,0.23"
59,coord_w0.08_i11,-0.001986579603505696,1.0027117563001222,1.159011087402099,0.9160992885841669,1.0005706900574534,1.007215526664257,1.0768808168140607,0.03858986429720531,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.07,0.23,0.07,0.23,0.15,0.15,0.23"
60,coord_w0.08_i11,-0.0019848129050445895,1.0027117563001213,1.1579983019603042,0.9160992885841676,0.9995711772230355,1.0072155266642557,1.0768808168140598,0.0385905580690212,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.23,0.23,0.07,0.23,0.15,0.15,0.23"
61,coord_w0.08_i12,-0.0019722915300625474,1.0025055912498864,1.1578182053387356,0.916099288584167,0.9995137648528211,1.0036427697115557,1.0768808168140598,0.03848801553269509,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.15,0.07,0.23,0.15,0.15,0.23"
62,coord_w0.08_i12,-0.0019481991076737565,1.0027480225939098,1.158733419336279,0.916099288584167,1.000306589604283,1.0046269749712686,1.07688081681406,0.03822152704736087,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0.07,0.23,0.15,0.15,0.23"
63,coord_w0.08_i13,-0.0019401115178924926,1.0027169838197565,1.1584789779971898,0.9160992885841669,1.0001348275790238,1.0038541824874188,1.07688081681406,0.03814301261731124,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.15,0.15,0.23"
64,coord_w0.08_i13,-0.0019491327868711654,1.0027516698221803,1.1587341357823309,0.9160992885841674,1.0003041515848254,1.0046269749712695,1.0768808168140598,0.03823108210800694,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0.08,0.23,0.15,0.15,0.23"
65,coord_w0.08_i14,-0.001948367430921061,1.0030414482886818,1.158499276484871,0.9160992885841674,1.0002289324939042,1.0028734157816341,1.0768808168140593,0.03822037362140555,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.15,0.15,0.15,0.23"
66,coord_w0.08_i14,-inf,0.9988138428718378,1.1583781788376024,0.9160992885841672,0.9999635023785926,1.003170487431448,1.0768808168140596,0.03809479794859589,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.31,0.15,0.15,0.23"
67,coord_w0.08_i15,-0.0019449360915510677,1.0019515385522393,1.1578286038161376,0.9160992885841667,0.9995388970133334,1.0035504697273463,1.07688081681406,0.038204377860702195,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.07,0.15,0.23"
68,coord_w0.08_i15,-0.0019335454973067817,1.0031338346168552,1.158724857306823,0.9160992885841674,1.0003864126813657,1.003854182487419,1.0768808168140596,0.03807263549669914,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.15,0.23"
69,coord_w0.08_i16,-0.00195437706178421,1.0029096648094984,1.1581293102728827,0.9160992885841674,0.999923958311029,1.0023292237006232,1.0768808168140591,0.03826908017067433,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.07,0.23"
70,coord_w0.08_i16,-inf,0.9991358253496626,1.159147753106691,0.9160992885841672,1.000690521697575,1.0038541824874188,1.0768808168140602,0.037954441214986506,"0.15,0.15,0.31,0.23,0.23,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.31,0,0.23,0.23,0.23,0.23"
