seed,strategy,blr_corr,global_corr,amp_chi2,phase_chi2,source_summary
20260540,optimal_singlecopy,0.7318699401740353,0.9201889765390301,0.8335755023651068,0.9131153376633615,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260540/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260540_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260540,collective_ns3,0.8009152181090725,0.9449529373354377,0.8530641944618196,0.87480816587883,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260540/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260540_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260529,collective_ns4,0.7973520062698075,0.9351121429480458,0.886915527774922,0.8544046456517254,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260529/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260529_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260530,collective_ns4,0.8256383718292991,0.94520964247548,0.8545017998361631,0.8885459671530566,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260530/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260530_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260531,collective_ns4,0.8160489175553348,0.9397748984701497,0.8742496160696782,0.9073817022557549,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260531/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260531_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260532,collective_ns4,0.8065790908559033,0.9408095275025576,0.8637712128589089,0.8508405094379321,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260532/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260532_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260533,collective_ns4,0.7953897681034827,0.9346752264071283,0.8719748256001831,0.8697271810586832,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260533/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260533_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260534,collective_ns4,0.7973961636772937,0.9296228685373376,0.8934508960750206,0.8966180193235469,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260534/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260534_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260535,collective_ns4,0.8330111661473159,0.9450508646028813,0.898596265773779,0.874827532721373,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260535/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260535_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260536,collective_ns4,0.8230349386535586,0.9416135050183146,0.8766045320733381,0.9252077025937108,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260536/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260536_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260537,collective_ns4,0.7996828154804259,0.9418892465928487,0.8592351907593299,0.9036043279146918,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260537/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260537_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260538,collective_ns4,0.7987742436926482,0.9349596271783419,0.853441319790441,0.8843514968218092,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260538/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260538_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260539,collective_ns4,0.8552604600214067,0.9494186373363137,0.8777438201898118,0.8975710310719021,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260539/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260539_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260540,collective_ns4,0.7923212287007255,0.9416311453996892,0.8602309463583894,0.8721408122381074,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns4_12seed/seed_20260540/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260540_ns4_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260529,collective_ns5,0.762954156010147,0.9261488716330064,0.8963820852332327,0.8562216420425616,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260529/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260529_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260530,collective_ns5,0.8023342654756599,0.9353260934710829,0.8513483638448373,0.8878169696829983,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260530/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260530_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260531,collective_ns5,0.8243333944800588,0.9361929102677049,0.8774364060285024,0.9076059910052962,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260531/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260531_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260532,collective_ns5,0.8437706817627151,0.951440883245439,0.8655580351820669,0.8510946312029571,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260532/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260532_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260533,collective_ns5,0.8179000438098121,0.9461599040503066,0.8642595041788492,0.8621189278654317,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260533/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260533_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260534,collective_ns5,0.8070962024758759,0.9436607512872422,0.8963634579042667,0.8849836481216505,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260534/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260534_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260535,collective_ns5,0.8090827331469772,0.9213421715233086,0.9095997606903455,0.8831873875834609,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260535/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260535_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260536,collective_ns5,0.8193562151855736,0.9438853505560849,0.8886119559561538,0.9250991413880694,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260536/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260536_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260537,collective_ns5,0.8100714127711061,0.9474738973785924,0.8696061625463403,0.9069910898905087,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260537/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260537_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260538,collective_ns5,0.8061847782657616,0.9421697795876947,0.8533851766921783,0.8739850023771176,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260538/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260538_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260539,collective_ns5,0.842409370515836,0.9449126397660368,0.8812674740784671,0.8940052078623102,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260539/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260539_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
20260540,collective_ns5,0.8063895326465906,0.9440479925468375,0.8585340883453315,0.8822680066735495,/Users/xinyaoguo/Desktop/VLBI/telescope_final/fig3_ns4_ns5_collective_20260826/rml_ns5_12seed_100ms/seed_20260540/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260540_ns5_eff002_exact655_nocoreprior_chi085w075to100_summary.json
