config,prior,tv,entropy,score,profile_rmse,global_corr,blr_corr,radial_corr,amp_chi2,phase_chi2,variant,variant_label
p0p03_tv0_e0,0.03,0.0,0.0,0.2980312082303599,0.24746499284087367,0.8530413895985691,0.7471689230525688,0.9423687605721085,0.8974912648094034,0.6204886894138858,patchy_resolved_ring,patchy resolved BLR ring
p0p03_tv0_e0p005,0.03,0.0,0.005,0.2929334929513512,0.24176539433043578,0.8503608672549329,0.744159506895423,0.941503390134195,0.8978551275099875,0.6199481738683295,patchy_resolved_ring,patchy resolved BLR ring
p0p03_tv0p01_e0,0.03,0.01,0.0,0.3002369793328673,0.24804676100353404,0.8498169821518792,0.7390489083533337,0.9419402117426329,0.8992744058784752,0.6191991175833925,patchy_resolved_ring,patchy resolved BLR ring
p0p03_tv0p01_e0p005,0.03,0.01,0.005,0.299693072720166,0.24845128922187618,0.8522622696261682,0.7437910825085511,0.9418881618528097,0.8996390675117197,0.61855477714529,patchy_resolved_ring,patchy resolved BLR ring
p0p03_tv0p03_e0,0.03,0.03,0.0,0.28487794850779435,0.23644787587251323,0.8582182650130813,0.7578496368235944,0.943482843590716,0.895551518403407,0.621536251240089,patchy_resolved_ring,patchy resolved BLR ring
p0p03_tv0p03_e0p005,0.03,0.03,0.005,0.2892991762563014,0.24013039321927487,0.8556882549787119,0.7541560848148672,0.9428088947754346,0.8962716998983186,0.6208121409093058,patchy_resolved_ring,patchy resolved BLR ring
p0p03_tv0p06_e0,0.03,0.06,0.0,0.299780671779147,0.24881353817227073,0.8523112557888428,0.7451643319656185,0.9422884190741714,0.8972269909234668,0.6195947807757087,patchy_resolved_ring,patchy resolved BLR ring
p0p03_tv0p06_e0p005,0.03,0.06,0.005,0.2879000615335791,0.23950722768963487,0.8581950370859596,0.7580358307802788,0.9433578449897195,0.8960696171745967,0.6208013225507958,patchy_resolved_ring,patchy resolved BLR ring
p0p08_tv0_e0,0.08,0.0,0.0,0.2979845815745475,0.24689830173817545,0.8522897139524969,0.7445686008181399,0.9421733326332414,0.8988983567072887,0.6193654198156047,patchy_resolved_ring,patchy resolved BLR ring
p0p08_tv0_e0p005,0.08,0.0,0.005,0.2930894974050858,0.24280142177130573,0.8535341162721483,0.7485596218310997,0.9420880432624681,0.8986415684148589,0.6194127918668301,patchy_resolved_ring,patchy resolved BLR ring
p0p08_tv0p01_e0,0.08,0.01,0.0,0.2933490471156264,0.24332539129723926,0.8539662225483304,0.7498817209080642,0.9421726665714467,0.8983441745374388,0.620236395344933,patchy_resolved_ring,patchy resolved BLR ring
p0p08_tv0p01_e0p005,0.08,0.01,0.005,0.29663958910628596,0.24570127570332367,0.8531365960413293,0.7453084329851887,0.942596236015216,0.8978640961285241,0.6196723070248493,patchy_resolved_ring,patchy resolved BLR ring
p0p08_tv0p03_e0,0.08,0.03,0.0,0.29621875527951524,0.24555240710870876,0.8524832093003262,0.7466682591459676,0.941855620463569,0.8980793310337828,0.6205043058684033,patchy_resolved_ring,patchy resolved BLR ring
p0p08_tv0p03_e0p005,0.08,0.03,0.005,0.29676985346921486,0.24691498430930903,0.85280425504325,0.7507256542004709,0.9419363981320783,0.8977198010749619,0.6191820649781768,patchy_resolved_ring,patchy resolved BLR ring
p0p08_tv0p06_e0,0.08,0.06,0.0,0.29288393099885535,0.24216045172224165,0.854011703358035,0.7463826036169317,0.942473130077246,0.8986083029964053,0.6200493321593978,patchy_resolved_ring,patchy resolved BLR ring
p0p08_tv0p06_e0p005,0.08,0.06,0.005,0.29456254787397673,0.24386532573362998,0.8539586060094457,0.7465138892982662,0.9426021753214975,0.898312115824111,0.6198720372331273,patchy_resolved_ring,patchy resolved BLR ring
p0p15_tv0_e0,0.15,0.0,0.0,0.29525531710268754,0.2453624352692083,0.8534624012584613,0.7505355908326039,0.9419531757103259,0.8967360459417748,0.6205555271321184,patchy_resolved_ring,patchy resolved BLR ring
p0p15_tv0_e0p005,0.15,0.0,0.005,0.299801031554905,0.24904028059631997,0.8512730175271898,0.746196245207075,0.9416989281108734,0.8972622246348942,0.6194808049368289,patchy_resolved_ring,patchy resolved BLR ring
p0p15_tv0p01_e0,0.15,0.01,0.0,0.2988760378825258,0.24870759942199328,0.8517796015970706,0.7491578076973373,0.9413910447007561,0.8976054023016259,0.6195080680666896,patchy_resolved_ring,patchy resolved BLR ring
p0p15_tv0p01_e0p005,0.15,0.01,0.005,0.29310889254715405,0.24359419692581324,0.8541595129411419,0.7524265218932961,0.9419113490186443,0.8971819355973832,0.6199948038066021,patchy_resolved_ring,patchy resolved BLR ring
p0p15_tv0p03_e0,0.15,0.03,0.0,0.2948319159217658,0.24432423720145524,0.8533672267539978,0.7474616063984473,0.9418812509702049,0.8976021571061852,0.6213250597481755,patchy_resolved_ring,patchy resolved BLR ring
p0p15_tv0p03_e0p005,0.15,0.03,0.005,0.29691455270811073,0.24522629757429404,0.8508313333873762,0.7415587243309165,0.9414595332612984,0.8985537381586448,0.6189593678466001,patchy_resolved_ring,patchy resolved BLR ring
p0p15_tv0p06_e0,0.15,0.06,0.0,0.30023260478134484,0.24816878520656838,0.8504710097951901,0.7396809021261177,0.9415541068698379,0.8985738582741056,0.6198197262010131,patchy_resolved_ring,patchy resolved BLR ring
p0p15_tv0p06_e0p005,0.15,0.06,0.005,0.30061475813665856,0.24844372111021137,0.8492831993049609,0.7391448148677641,0.9411276491161906,0.89913854574221,0.6190266212790192,patchy_resolved_ring,patchy resolved BLR ring
